"filename", "language", "Dart", "comment", "blank", "total"
"m:\Projects\lost_pet\lib\resources\firestore_methods.dart", "Dart", 14, 0, 4, 18
"m:\Projects\lost_pet\lib\responsive\chat.dart", "Dart", -21, 0, -4, -25
"m:\Projects\lost_pet\lib\screens\chats_list_screen.dart", "Dart", -1, 0, 0, -1
"m:\Projects\lost_pet\lib\screens\demo_screen.dart", "Dart", 15, 0, 6, 21
"m:\Projects\lost_pet\lib\screens\edit_profile_screen.dart", "Dart", 28, 0, 3, 31
"m:\Projects\lost_pet\lib\screens\feed_screen.dart", "Dart", -15, 0, 0, -15
"m:\Projects\lost_pet\lib\screens\forgot_password_screen.dart", "Dart", 3, 0, 0, 3
"m:\Projects\lost_pet\lib\screens\login_screen.dart", "Dart", 10, 0, 1, 11
"m:\Projects\lost_pet\lib\screens\profile_screen.dart", "Dart", 8, -6, 0, 2
"m:\Projects\lost_pet\lib\screens\search_screen.dart", "Dart", -62, -1, 1, -62
"m:\Projects\lost_pet\lib\screens\signup_screen.dart", "Dart", 62, 0, 12, 74
"m:\Projects\lost_pet\lib\widgets\comment_card.dart", "Dart", 43, 0, 4, 47
"m:\Projects\lost_pet\lib\widgets\post_card.dart", "Dart", 0, 1, 0, 1
"m:\Projects\lost_pet\lib\widgets\text_field_input.dart", "Dart", 10, 0, 1, 11
"Total", "-", 94, -6, 28, 116
